Host,Interface,"Avg Inbound MB","Max Inbound MB",Time,Status
Galaxy-CRM,"Interface enP14182s1: Inbound packets discarded",0.00,0,"2025-04-15 22:30:00",Normal
Galaxy-CRM,"Interface enP14182s1: Inbound packets with errors",0.00,0,"2025-04-15 22:30:00",Normal
Galaxy-CRM,"Interface enP14182s1: Bits received",30775.93,100842,"2025-04-15 11:30:00",Anomaly
Galaxy-CRM,"Interface enP22157s1: Inbound packets discarded",0.00,0,"2025-04-13 22:30:00",Normal
Galaxy-CRM,"Interface enP22157s1: Inbound packets with errors",0.00,0,"2025-04-13 22:30:00",Normal
Galaxy-CRM,"Interface enP22157s1: Bits received",16350.40,17260,"2025-04-13 12:30:00",Normal
Galaxy-CRM,"Interface enP24505s1: Inbound packets discarded",0.00,0,"2025-04-04 22:30:00",Normal
Galaxy-CRM,"Interface enP24505s1: Inbound packets with errors",0.00,0,"2025-04-04 22:30:00",Normal
Galaxy-CRM,"Interface enP24505s1: Bits received",36608.00,91451,"2025-04-04 17:30:00",Anomaly
Galaxy-CRM,"Interface enP26434s1: Inbound packets discarded",0.00,0,"2025-04-03 22:30:00",Normal
Galaxy-CRM,"Interface enP26434s1: Inbound packets with errors",0.00,0,"2025-04-03 22:30:00",Normal
Galaxy-CRM,"Interface enP26434s1: Bits received",37143.00,80014,"2025-04-03 15:30:00",Anomaly
Galaxy-CRM,"Interface enP28574s1: Inbound packets discarded",0.00,0,"2025-04-06 22:30:00",Normal
Galaxy-CRM,"Interface enP28574s1: Inbound packets with errors",0.00,0,"2025-04-06 22:30:00",Normal
Galaxy-CRM,"Interface enP28574s1: Bits received",16641.60,18534,"2025-04-06 20:30:00",Normal
Galaxy-CRM,"Interface enP29354s1: Inbound packets discarded",0.00,0,"2025-04-01 22:30:00",Normal
Galaxy-CRM,"Interface enP29354s1: Inbound packets with errors",0.00,0,"2025-04-01 22:30:00",Normal
Galaxy-CRM,"Interface enP29354s1: Bits received",109448.27,791661,"2025-04-01 16:30:00",Anomaly
